"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.26762366299195e-177,2.05759901324422,0.997,0.494,4.30689762312062e-173,"12","SLC1A2"
2.4366963156724e-188,2.04100923700658,0.973,0.303,4.62801731235658e-184,"12","CHGA"
5.03193066002933e-149,2.02723812750881,0.735,0.185,9.55714590259371e-145,"12","CKMT1A"
7.60396125878576e-198,2.02313137921477,1,0.521,1.44422036188118e-193,"12","KIF5A"
2.62945776360105e-121,2.0021899643935,0.601,0.155,4.99412913040747e-117,"12","BICDL1"
2.65043802253306e-190,4.17350979691354,0.777,0.194,5.03397693619704e-186,"13","NPY"
2.03242492676154e-70,2.58548802793544,0.355,0.086,3.86018466339819e-66,"13","NOS1"
9.47273658473289e-202,2.33499115298315,0.969,0.339,1.79915685953832e-197,"13","OPALIN"
6.48255809686505e-129,2.25350859550471,0.496,0.095,1.23123225933758e-124,"13","CPLX3"
7.99892200560421e-191,2.04001527587058,1,0.667,1.51923525652441e-186,"13","SCD"
5.01598789803299e-42,1.93275266216817,0.569,0.252,9.52686581473406e-38,"13","SST"
7.03079502594792e-168,1.85533571425591,1,0.633,1.33535889927829e-163,"13","CERCAM"
5.97074266338501e-130,1.71728845689669,0.946,0.397,1.13402315405671e-125,"13","AQP1"
2.51540546680595e-138,1.69892215159449,0.977,0.464,4.77750960310454e-134,"13","PIP4K2A"
1.72814408040582e-127,1.67982674629036,0.907,0.36,3.28226405191477e-123,"13","HHATL"
