"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.30878100905061e-22,0.620596002984953,0.701,0.426,1.76801677704898e-17,"Interneurons","DEPRECATED-ENSG00000166136"
1.07467916943496e-21,0.454928612567709,0.758,0.432,2.04113814650783e-17,"Interneurons","ITFG1"
1.090011798651e-21,0.599157816743346,0.439,0.224,2.07025940917785e-17,"Interneurons","TRPM3"
1.10843498559611e-21,0.379822889290129,0.431,0.203,2.10525056814269e-17,"Interneurons","NINJ2"
1.10996208123042e-21,0.422127055904608,0.535,0.272,2.10815098088094e-17,"Interneurons","NRSN1"
1.22257977938007e-21,0.548656926099463,0.808,0.489,2.32204577497657e-17,"Interneurons","ATP2B4"
1.22529484294633e-21,0.624822035733715,0.493,0.264,2.32720249520796e-17,"Interneurons","NTNG2"
1.2554670174737e-21,0.351395787673757,0.744,0.397,2.3845085062878e-17,"Interneurons","MOAP1"
1.26776897276144e-21,0.559201547886423,0.569,0.297,2.40787360996581e-17,"Interneurons","TUSC3"
1.29173894205125e-21,0.539155261554348,0.611,0.355,2.45339977263795e-17,"Interneurons","MICU2"
1.44942280905042e-21,0.372529905015788,0.932,0.653,2.75288874122947e-17,"Interneurons","PON2"
1.47573366799281e-21,0.511487315332743,0.496,0.259,2.80286095561874e-17,"Interneurons","TMTC4"
1.61073538415557e-21,0.447081143011733,0.941,0.602,3.05926971512667e-17,"Interneurons","NDFIP1"
1.69407323731299e-21,0.495719663030996,0.614,0.353,3.21755329962857e-17,"Interneurons","EEF1AKMT2"
1.87751294270286e-21,0.435113764199377,0.794,0.464,3.56596033207554e-17,"Interneurons","DNAJA1"
1.88404585759564e-21,0.329311333649244,0.834,0.449,3.5783682973314e-17,"Interneurons","PNMA2"
1.96358221531337e-21,0.527743140011476,0.625,0.366,3.72943170154468e-17,"Interneurons","SLC22A23"
2.00696812750563e-21,0.379617460968364,0.913,0.59,3.81183456457144e-17,"Interneurons","ITPKB"
2.04073496829889e-21,0.495410812249761,0.67,0.371,3.87596792529008e-17,"Interneurons","SYNJ1"
2.12176614682014e-21,0.492097326509345,0.792,0.479,4.0298704426555e-17,"Interneurons","RAB2A"
2.17196755565253e-21,0.516499432260889,0.524,0.278,4.12521797845084e-17,"Interneurons","LPCAT2"
2.37481289140615e-21,0.496734893903042,0.693,0.42,4.51048212464771e-17,"Interneurons","UFM1"
2.3966830143781e-21,0.455475266726675,0.682,0.406,4.55202004920832e-17,"Interneurons","APPBP2"
2.46347459780263e-21,0.469574930141409,0.682,0.4,4.67887730360653e-17,"Interneurons","KLF13"
2.4881247412739e-21,0.474538877740686,0.803,0.462,4.72569532110152e-17,"Interneurons","ATP5F1B"
2.59121989161391e-21,0.42401128964965,0.715,0.4,4.9215039401423e-17,"Interneurons","MAP2K4"
2.73322576844018e-21,0.505289440565252,0.648,0.382,5.19121570199844e-17,"Interneurons","LDLRAD4"
2.79590460045765e-21,0.501074993033092,0.763,0.474,5.31026160764921e-17,"Interneurons","VPS41"
2.84171257834266e-21,0.553778663916177,0.696,0.399,5.39726470004622e-17,"Interneurons","GSK3A"
2.84363637969773e-21,0.536415702218217,0.659,0.39,5.40091857595989e-17,"Interneurons","RNF220"
